address,city,company,company_id,company_type,date,education,experience,job_description,job_name,job_url,people_num,salary
共康,上海,上海道法自动化系统集成有限公司,CZ403173010,民营,2019-07-18 00:52:29,本科,3-5年,岗位职责：1. 负责现场安全设备、服务器及网站日志审查、外部安全漏洞的跟踪、安全审核与分析；2. 负责防火墙、防毒系统、抗DDOS、IPS、终端安全、运维审计、VPN、WAF等安全系统策略的制定、实施、优化；3. 负责主流网络设备安全优化加固和漏洞修复；4. 负责攻击、病毒、漏洞等安全问题的响应处理，各系统安全策略优化；5. 负责为网络建设信息安全体系和安全架构及管理；任职资格：1. 3年以上相关工作经历，要求计算机相关专业，有大型项目工作经验优先；2. 熟练掌握路由器、交换机、防火墙、WLAN等网络设备的配置与维护，故障排除；有H3C网络安全类认证者优先考虑；3. 有丰富的网络安全理论知识，具有风险评估、等级保护、安全体系规划、安全集成等实施经验；4. 深入掌握主流安全产品、防病毒软件、防火墙、入侵检测、漏洞扫描、WAF等安全产品的工作原理，并能够进行配置、调测及故障排查；5. 精通网络安全技术，包括端口、服务漏洞扫描、网站渗透、入侵和攻击分析追踪、病毒木马防范等；6. 熟练运用多种安全漏洞扫描软件；7. 对SQLSERVER数据库和C#编程语言有一定了解；,网络安全工程师(网络运维),https://jobs.zhaopin.com/CC403173010J00256418206.htm,招1人,10K-15K
南翔,上海,上海复星长征医学科学有限公司,CZ000361540,合资,2019-07-18 00:50:08,本科,1-3年,"职责1.从事Windows上位机软件设计与开发2.完成信号采集处理、电机控制、下位机通信、数据存储分析、仿真测试等功能3.根据项目需求完成软件需求分析、架构设计、算法设计、编码实现和后续的维护升级等工作4.按照项目需求承担分配的工作，按照计划完成任务目标5.按照工作流程编写设计、测试和维护文档以及其他相关文档6.配合其他相关部门完成项目的软件应用支持和服务工作要求第一学历统招本科以上，计算机、软件工程、自动化或机械电子等相关专业，1年以上工作经验，精通C#编程以及.Net框架，精通主流数据库的应用。熟悉工控流程和RS-232、CAN、TCP/IP等常见的通信协议,具备独立完成模块设计能力,善于沟通及团队合作,具备工控、自动化、测控等软件开发经验者优先",软件工程师,https://jobs.zhaopin.com/CC000361542J00261581203.htm,招2人,8K-12K
唐镇,上海-浦东新区,上海泓智信息科技有限公司,CZ191761020,上市公司,2019-07-18 00:51:26,本科,1-3年,1、 本科及以上学历，计算机、数学相关专业；2、 熟悉关系数据库原理；3、 至少掌握 DB2/Oracle/SQLserver/mysql 中的一种数据库操作和开发；4、 熟练使用 SQL 语言编程5、 熟悉 C#/Java/C++/C 中一种的开发语言；6、 具备一定的数据库分析、设计能力，能够使用一种数据库设计工具。优选条件：1、 有数据仓库建设经验开发经验尤佳；2、 有一线系统问题跟踪和解决丰富经验的可优先考虑。,数据库开发工程师,https://jobs.zhaopin.com/CC191761023J00263770207.htm,招1人,8K-10K
凉城,上海,上海和邑信息科技有限公司,CZ679687830,民营,2019-07-18 00:52:10,本科,3-5年,1.本科及以上学历、计算机相关专业、3年以上Java研发工作经验； 2.必须精通Dubbo、Springboot相关分布式技术，熟悉MyBatis等框架，有丰富的项目开发经验； 3.熟悉redis，memcache，ActiveMQ，Kafka中间件； 3.熟悉mysql等关系型数据库，熟练掌握常用数据结构，Java基础类库； 4.熟悉Linux操作系统、Git操作服务应用集群部署及配置，有linux系统操作经验； 5.熟悉基于Restful的API开发； 6.有大数据量、高并发系统设计经验者优先。 7.喜欢专研技术、有独立探索技术的能力，具有良好的软件工程知识和质量意识备注：大学毕业后工作经验不足三年请勿投递；每年跳槽者，不建议投递；谢谢！ ,java开发工程师A1,https://jobs.zhaopin.com/CZ679687830J00073175908.htm,招2人,16K-28K
曹路,上海,上海泓智信息科技有限公司,CZ191761020,上市公司,2019-07-18 00:51:26,本科,1-3年,Java，ssm，J2EE1、 2 年以上互联网或 B/S 项目开发经验；2、熟悉 JAVA/J2EE，理解 io、多线程、集合等基础知识，熟悉分布式、缓存、消息等机制；3、 熟练 Spring、Hibernate、JPA 等框架，熟悉 SpringBoot，了解 SpringCloud;4、 熟悉 Oracle 数据库以及优化方法，了解 Mysql、Redis、MongoDB；5、 了解常用 Linux 命令;6、 具有较强的工作责任心和优秀的沟通协调能力；,java开发工程师,https://jobs.zhaopin.com/CC191761023J00305317107.htm,招3人,8K-10K
康桥,上海,上海牙典软件科技有限公司,CZ304489530,民营,2019-07-18 00:52:46,本科,3-5年,"岗位职责：参与公司口腔数字化项目，负责辅助诊疗相关三维图形应用软件及相关算法研发。具体包括：1. 参与软件需求分析和产品设计2. 进行技术攻关，解决项目中的关键问题和技术难题3. 参与图形处理算法预研或开发实现4. 承担相关软件的核心编码工作和必要的测试工作5. 良好的团队合作能力与沟通能力任职资格：1. 计算机、生物工程、数学、物理或其它相关专业硕士以上学历2. 熟练掌握C、C++语言和面向对象的编程思想，熟悉常用设计模式3. 熟悉掌握操作系统/数据结构/算法/网络通信等基本知识，熟悉常用设计模式4. 有三维可视化或三维图形处理相关经验，熟悉openGL, pcl, igl, vtk等开源工具优先5. 有有限元分析相关软件开发经验优先6. 思维敏捷，对工作有较高的热情和驱动力，具有良好的团队合作意识",软件工程师（C++）,https://jobs.zhaopin.com/CC304489535J00132808102.htm,招2人,15K-20K
真如,上海,上海竟焰交通设施工程有限公司,CZ637245730,民营,2019-07-18 00:50:25,本科,1-3年,岗位职责1、负责指定区域的市场开发、客户维护、销售管理、售后服务等工作；2、负责所属区域的产品推广和销售，完成销售的任务指标；3、制定自己的销售计划，并按计划维护老客户及开发新客户；4、做好销售合同的签订、履行与管理等相关工作，以及协调处理各类问题；5、协助销售主管制定销售策略、销售计划，以及量化销售目标；6、保持良好的心态和规范的行为，与客户建立良好关系，以维护企业形象；任职要求：1、年龄：20~38岁，大专及以上学历；2、1年以上销售工作经验，对工作有激情，热爱销售工作岗位；3、性格开朗外向，逻辑思维清晰，沟通、表达能力强；4、有上进心，学习能力强，有一定的抗压能力；5、喜欢出差，适应能力强，酒量佳；6、具有超强开发客户能力，优秀的谈判技巧，能快速跟进客户；7、可接收应届毕节生。,销售代表,https://jobs.zhaopin.com/CZ637245730J00034311406.htm,招20人,8K-10K
东明路,上海-浦东新区,广州龙文教育科技有限公司北京分公司,CZ344158080,上市公司,2019-07-18 00:52:58,本科,1-3年,您看到的不仅仅是招聘启事，或许是您人生梦想的开始。选择我们！您将拥有无限的成长与发展空间，因为我们脚踏实地，从现在开始，龙文或许是您职业生涯转折的一个契机，因为我们有梦想，您将有机会帮助更多的人实现对进步的渴望，因为我们有持久的激情和动力，热爱教育事业的青年们，加入我们吧，用我们的激情把梦想变成现实。岗位职责：1、了解并分析学生情况，准备教学计划和课前教案；2、根据学生情况因材施教，提供专业化的、高质量的一对一教学服务； 3、激发学生的学习兴趣，帮助学生养成良好的学习习惯，掌握高效的学习方法； 4、紧密结合教学进度，为学生查漏补缺，做阶段性测试；5、完成领导安排的其它教学辅助工作。任职资格： 1、大学本科及以上学历，师范类专业或有一年以上教学经验者优先考虑；2、形象端庄大方，有亲和力，责任心强，团队意识强； 3、性格开朗，能吃苦耐劳，具有分析问题和解决问题的能力；4、普通话标准，有良好的沟通表达能力。福利待遇：1、保证你的努力看得见，底薪+高课时费+高奖金；2、入职即签订劳动合同，完善的五险一金制度；3、婚假+产假+带薪年休假+各类法定节假日；4、公司注重每个人的发展！总部、分部每周都会组织教研活动，努力提升每位老师的教学能力；5、各种节日礼品、教师节奖金、拓展旅游、团建活动；培训体系：1、 新人阶段：有专业的教研员带教；2、 成长阶段：每周的专业教研课程；晋升通道：专业通道：星锐教师（一星、二星）—明星教师（三星至五星）—金牌教师（六星至十一星）管理通道：主任助理—教导主任—分校校长—城市校长—集团高管,初高中物理教师,https://jobs.zhaopin.com/CC344158080J00137294909.htm,招3人,7K-10K
浦江镇,上海,上海天绪汽车科技有限公司,CZ810207900,合资,2019-07-18 00:50:36,本科,不限,岗位职责：1、通过展会、网络等形式，拓展海外市场，开发、维护国外客户； 2、根据部门销售目标，制定市场推广方案并落实，并完成个人销售计划； 3、掌握国际贸易业务知识，熟悉公司产品，为新老客户提供优质售前及售后服务； 4、掌握国际行业行情，行业网站、竞争对手信息、行业信息及国际形势变化，做好市场调研，为市场推广策略提供支持； 5、掌握客户需求，建立客户档案，积极开发和维护新老客户； 6、按规定流程，拟定销售合同等相关文书，并及时掌握合同进度； 7、负责客户询盘、报价、商务谈判、合同签订、收款、催款等工作； 8、及时完成上级交办的其他任务。 任职要求： 1、有无工作经验均可，免费培训专业知识和外贸技能；1、本科学历，英语CET4以上，有良好的外语沟通谈判能力，国际贸易专业，英语相关专业优先，有小语种能力者更佳； 2、思维敏捷，有很好的市场意识，有汽车配件方面知识更佳； 3、具有较强的进取精神和团队精神，工作认真，主观能动性强，责任心，抗压性强，可短期去国内外参展等； 4、喜欢外贸工作，能经受外贸工作的压力，勇于学习国际贸易知识，有长时间稳定工作的计划。福利待遇：底薪+综合津贴+提成 交通补贴+租房补贴 有薪年休20天等。工作地点：闵行区浦江镇，地铁8号线联航路地铁口红星国际广场。021-34781993,外贸业务员,https://jobs.zhaopin.com/CZ810207900J00149715107.htm,招5人,6K-12K
田林,上海-徐汇区,上海太尧企业管理中心(有限合伙),CZ712344980,合资,2019-07-18 00:50:08,本科,无经验,• 职位描述1、该职位以招聘中高端人才为主，为客户企业提供企业管理人员或技术人员招聘；2、根据顾问对所在行业，公司以及职位的分析，参与制定目标候选人的寻访方案；3、进行相关侯选人资料的收集、分类、整理，对简历做初步筛选；4、通过各种渠道快速寻访候选人，进行初步面试和评估；5、提供候选人评价和推荐报告，向顾问推荐；6、沟通协调候选人与公司之间的面试安排，跟进进展并及时反馈；7、候选人背景调查，薪酬谈判，offer跟进，入职跟进等。• 职位要求1、统招本科及以上学历2、热爱人力资源，具备良好的交流沟通能力，对于猎头行业有一定认知3、成熟亲和，积极开朗4、能在高压和挑战下保持乐观与自信5、对自己要求高，有明确的目标并且行动力强,猎头AC/应届生也可,https://jobs.zhaopin.com/CC712344980J00339605503.htm,招4人,6K-10K
